"19000419",10000
"19000419",12000
"19000419",15000
"19000419",12000
"19000420",
"19000420",15000
"19000421",18000
"19000421",
"19000421",
"19000421",
"19000422",
"19000422",20000
"19000423",
"19000423",
"19000424",
"19000424",
"19000424",
"19000424",
"19000425",
"19000425",
"19000425",
"19000425",
"19000426",
"19000426",
"19000426",
"19000426",
"19000427",
"19000427",
"19000427",
"19000427",
"19000428",
"19000428",
"19000428",
"19000428",
"19000429",
"19000429",
"19000430",
"19000430",
"19000430",
"19000501",
"19000501",
"19000501",
"19000502",
"19000502",
"19000502",
"19000503",
"19000503",
"19000503",
"19000504",
"19000504",
"19000504",
"19000505",
"19000505",
"19000505",
"19000505",
"19000506",
"19000506",
"19000507",
"19000507",
"19000507",
"19000508",
"19000508",
"19000508",
"19000508",
"19000510",
"19000511",
"19000512",
"19000512",
"19000512",
"19000512",
"19000513",
"19000513",
"19000513",
"19000514",
"19000514",
"19000514",
"19000514",
"19000515",
"19000515",
"19000515",
"19000515",
"19000516",
"19000516",
"19000516",
"19000516",
"19000517",
"19000517",
"19000518",
"19000518",
"19000519",
"19000520",
"19000520",
"19000520",
"19000521",
"19000521",
"19000521",
"19000521",
"19000522",
"19000522",
"19000522",
"19000522",
"19000523",
"19000523",
"19000523",
"19000523",
"19000524",
"19000524",
"19000524",
"19000525",
"19000525",
"19000525",
"19000525",
"19000526",
"19000526",
"19000526",
"19000526",
"19000527",
"19000528",
"19000528",
"19000528",
"19000530",3500
"19000530",6500
"19000530",5900
"19000530",11000
"19000530",3000
"19000530",15000
"19000530",10474
"19000530",18531
"19000531",
"19000531",
"19000531",
"19000601",
"19000601",
"19000601",
"19000601",
"19000602",
"19000602",
"19000604",
"19000604",
"19000604",
"19000604",
"19000605",
"19000605",
"19000605",
"19000605",
"19000606",
"19000606",
"19000606",
"19000606",
"19000607",
"19000607",
"19000607",
"19000607",
"19000608",
"19000609",
"19000609",
"19000609",
"19000609",
"19000611",
"19000611",
"19000611",
"19000611",
"19000612",
"19000612",
"19000612",
"19000612",
"19000613",
"19000613",
"19000613",
"19000613",
"19000614",
"19000614",
"19000614",
"19000615",
"19000615",
"19000616",
"19000616",
"19000616",
"19000616",
"19000617",
"19000617",
"19000618",
"19000618",
"19000618",
"19000618",
"19000619",
"19000619",
"19000619",
"19000619",
"19000620",
"19000620",3800
"19000620",
"19000621",
