last_name, first_name,year,b_ab,b_home_run,batting_avg,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,
Grandal, Yasmani,2016,390,27,.228,.236,.481,.359,.348,.245,91.3,12.3,
Heyward, Jason,2016,530,7,.230,.256,.354,.310,.331,.098,86.7,10.6,
LeMahieu, DJ,2016,552,11,.348,.342,.500,.401,.414,.158,91.7,5.9,
Lucroy, Jonathan,2016,490,24,.292,.278,.474,.352,.344,.196,87.6,14.3,
Moreland, Mitch,2016,460,22,.233,.257,.477,.342,.321,.220,90.5,14.6,
Moustakas, Mike,2016,104,7,.240,.289,.520,.373,.349,.231,91.4,11.1,
Norris, Derek,2016,415,14,.186,.226,.353,.284,.294,.127,87.4,18.9,
Revere, Ben,2016,350,2,.217,.237,.308,.268,.281,.072,83.7,5.6,
Rizzo, Anthony,2016,583,32,.292,.269,.492,.370,.367,.223,89.1,16.2,
Robinson, Clint,2016,196,5,.235,.226,.349,.301,.310,.123,87.7,13.9,
Romine, Austin,2016,165,4,.242,.238,.372,.278,.267,.135,86.6,7.8,
Rupp, Cameron,2016,389,16,.252,.240,.437,.316,.292,.197,91.3,9,
Smolinski, Jake,2016,290,7,.238,.261,.393,.316,.322,.132,87.5,13.1,
Souza Jr., Steven,2016,430,17,.247,.231,.420,.313,.292,.189,89.9,13.2,
Stanton, Giancarlo,2016,413,27,.240,.245,.476,.346,.332,.231,94,13.9,
Szczur, Matt,2016,185,5,.259,.241,.368,.291,.296,.128,85.4,13.9,
Vogt, Stephen,2016,490,14,.251,.259,.417,.316,.312,.158,85.9,19.4,
Galvis, Freddy,2016,584,20,.241,.233,.350,.269,.269,.116,87.4,13.6,
Perez, Salvador,2016,514,22,.247,.239,.400,.295,.281,.161,88.8,18.9,
Forsythe, Logan,2016,511,20,.264,.277,.488,.361,.345,.211,90,13.6,
Flores, Wilmer,2016,307,16,.267,.253,.402,.312,.307,.149,86.3,18.5,
Marte, Jefry,2016,258,15,.252,.252,.435,.326,.312,.183,89.2,12.6,
Holt, Tyler,2016,179,0,.235,.226,.279,.282,.323,.053,84.4,6.3,
Nava, Daniel,2016,130,1,.223,.250,.375,.319,.329,.126,89.4,13.1,
Cabrera, Ramon,2016,171,3,.246,.225,.304,.252,.264,.079,87.6,13.1,
Garcia, Avisail,2016,413,12,.245,.268,.435,.337,.331,.166,90.2,5.4,
Perez, Hernan,2016,404,13,.272,.249,.369,.285,.281,.121,88.8,12.4,
Bethancourt, Christian,2016,193,6,.228,.231,.395,.289,.268,.164,87.9,11.3,
Perez, Carlos,2016,268,5,.209,.222,.326,.257,.257,.104,84.7,15.2,
Inciarte, Ender,2016,522,3,.291,.267,.336,.300,.330,.069,85.5,8.2,
Ozuna, Marcell,2016,557,23,.266,.282,.476,.352,.337,.194,90.8,10.8,
