babip,launch_angle
0.188,7.7
0.281,15.3
0.300,9.9
0.200,-0.3
0.355,4.7
0.300,9.0
0.467,15.8
0.107,7.4
0.310,13.4
0.321,18.0
0.464,7.7
0.448,9.7
0.259,14.6
0.345,7.7
0.250,16.5
0.207,1.3
0.310,15.0
0.259,2.9
0.269,26.0
0.074,24.9
0.346,7.8
0.280,22.0
0.077,3.3
0.167,22.0
0.240,12.8
0.125,28.8
0.385,21.9
0.346,21.8
0.240,26.1
0.360,21.1
0.250,24.5
0.333,28.5
0.348,14.6
0.227,22.0
0.227,15.5
0.261,28.1
0.333,8.8
0.211,25.9
0.318,12.8
0.273,6.9
0.429,3.1
0.250,27.4
0.474,8.7
0.150,17.4
0.150,16.0
0.150,27.1
0.471,12.7
0.263,17.7
0.250,23.4
0.200,8.4
0.421,5.8
0.368,6.1
0.263,8.8
0.368,4.0
0.263,12.3
0.471,7.1
0.353,10.9
0.412,4.3
0.125,12.9
0.267,9.8
0.176,11.2
0.125,21.8
0.313,29.3
0.353,15.4
0.250,15.7
0.357,-3.4
0.200,22.9
0.188,16.7
0.308,22.1
0.400,-3.9
0.333,13.5
0.385,5.4
0.357,19.1
0.286,29.6
0.462,15.4
0.286,30.4
0.286,9.6
0.500,-4.6
0.143,-4.9
0.231,30.6
0.308,5.9
0.077,9.8
0.333,4.4
0.273,26.8
0.500,15.2
0.250,37.4
0.273,19.1
0.273,31.8
0.250,17.8
0.333,3.3
0.000,17.9
0.182,11.3
0.250,24.5
0.182,-10.6
0.200,24.7
0.182,31.8
0.091,22.0
0.000,37.9
0.444,13.2
0.100,10.6
0.300,25.0
0.100,20.3
0.300,12.8
0.444,-6.4
0.222,-4.8
0.500,16.5
0.250,38.9
0.250,10.5
0.500,13.8
0.250,17.1
0.125,17.5
0.375,-10.4
0.143,22.7
0.143,3.6
0.286,10.6
0.000,24.0
0.143,0.6
0.286,22.7
0.286,8.0
0.143,31.0
0.500,-17.3
0.167,10.0
0.333,17.2
0.600,10.7
0.667,18.0
0.000,16.7
0.200,8.5
0.250,24.6
0.000,21.2
0.200,12.2
0.400,5.2
0.000,27.0
0.200,-7.4
0.200,13.6
0.400,1.0
0.250,24.4
0.500,-4.5
0.500,14.0
0.667,9.0
0.250,6.5
0.250,-1.3
0.500,33.0
0.250,15.3
0.000,26.3
0.250,36.5
0.750,-2.3
0.333,11.7
0.333,41.3
0.333,6.0
0.333,10.3
0.667,23.7
0.333,22.3
0.000,11.3
0.000,8.0
0.667,-9.0
0.333,24.3
0.000,5.3
0.000,25.0
0.000,28.3
0.000,9.0
0.500,51.0
0.000,45.0
1.000,11.5
0.000,48.0
0.500,27.0
0.000,23.0
1.000,22.0
0.500,-11.0
1.000,12.0
0.000,0.0
null,22.0
0.000,54.0
0.000,-31.0
0.000,48.0
1.000,20.0
0.000,-16.0
0.000,56.0
1.000,-6.0
