last_name, first_name,year,b_home_run,batting_avg,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,
Shaw, Travis,2019,7,0.157,0.184,0.338,0.283,0.306,0.154,89,24.9,
Springer, George,2019,39,0.292,0.288,0.582,0.404,0.383,0.294,89.8,10.4,
Strange-Gordon, Dee,2019,3,0.275,0.251,0.313,0.265,0.286,0.062,84.3,5.9,
Vazquez, Christian,2019,23,0.276,0.253,0.447,0.317,0.302,0.194,89.4,13.2,
Wong, Kolten,2019,11,0.285,0.250,0.365,0.307,0.334,0.115,86.1,12.7,
Gregorius, Didi,2019,16,0.238,0.245,0.408,0.297,0.286,0.163,88.2,17.7,
Garcia, Leury,2019,8,0.279,0.247,0.359,0.279,0.281,0.112,88.2,6.2,
Vargas, Ildemaro,2019,6,0.269,0.264,0.375,0.291,0.296,0.111,87.1,3.2,
Grichuk, Randal,2019,31,0.232,0.241,0.437,0.309,0.290,0.196,89.3,16,
Marisnick, Jake,2019,10,0.233,0.201,0.334,0.261,0.261,0.133,86.7,11.7,
Stassi, Max,2019,1,0.136,0.175,0.262,0.236,0.251,0.087,89.3,12.4,
Trout, Mike,2019,45,0.291,0.311,0.676,0.460,0.457,0.365,90.9,22.2,
Herrera, Odubel,2019,1,0.222,0.227,0.341,0.279,0.292,0.114,88,11,
Almora Jr., Albert,2019,12,0.236,0.258,0.390,0.290,0.292,0.133,86.3,8.5,
Ruiz, Rio,2019,12,0.232,0.234,0.362,0.296,0.309,0.129,88.4,11.3,
Wolters, Tony,2019,1,0.262,0.252,0.326,0.292,0.331,0.074,85.3,10.1,
Harper, Bryce,2019,35,0.260,0.277,0.551,0.390,0.388,0.274,91.9,13.7,
Perez, Roberto,2019,24,0.239,0.224,0.451,0.324,0.310,0.226,90.2,5.7,
Martin, Leonys,2019,9,0.199,0.187,0.338,0.266,0.266,0.152,87.3,16.9,
Abreu, Jose,2019,33,0.284,0.282,0.522,0.363,0.335,0.240,92.1,10.9,
Diaz, Elias,2019,2,0.241,0.247,0.340,0.287,0.305,0.093,88.1,9.2,
Narvaez, Omar,2019,22,0.278,0.262,0.434,0.334,0.340,0.172,85.5,17.8,
