last_name, first_name,year,b_home_run,batting_avg,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,
Heredia, Guillermo,2019,5,0.225,0.244,0.351,0.304,0.325,0.107,86.6,12.9,
Kang, Jung Ho,2019,10,0.169,0.217,0.432,0.297,0.267,0.215,92.2,13.7,
Ervin, Phillip,2019,7,0.271,0.235,0.371,0.298,0.302,0.136,85.1,14.4,
Frazier, Clint,2019,12,0.267,0.249,0.468,0.325,0.303,0.220,88.5,15.4,
Meadows, Austin,2019,33,0.291,0.286,0.553,0.379,0.359,0.268,90.4,16.7,
Mercado, Oscar,2019,15,0.269,0.264,0.411,0.314,0.315,0.147,88,14.7,
Pinder, Chad,2019,13,0.240,0.258,0.454,0.325,0.309,0.196,90.9,8.5,
Anderson, Tim,2019,18,0.335,0.296,0.471,0.337,0.320,0.175,88.3,8.7,
Bauers, Jake,2019,12,0.226,0.226,0.358,0.297,0.314,0.132,88.1,15,
Bellinger, Cody,2019,47,0.305,0.324,0.647,0.437,0.425,0.322,91.1,18.2,
Calhoun, Willie,2019,21,0.269,0.262,0.451,0.330,0.320,0.190,89.7,17.6,
Collins, Zack,2019,3,0.186,0.198,0.442,0.321,0.318,0.244,90.7,15.3,
Cordell, Ryan,2019,7,0.221,0.213,0.364,0.281,0.284,0.151,88.9,19.5,
Crawford, J.P.,2019,7,0.226,0.243,0.346,0.303,0.330,0.104,85,12.3,
Demeritte, Travis,2019,3,0.225,0.227,0.360,0.283,0.289,0.133,91.2,16.1,
Dixon, Brandon,2019,15,0.248,0.237,0.445,0.309,0.283,0.208,89.5,16.9,
Dozier, Hunter,2019,26,0.279,0.265,0.480,0.345,0.336,0.215,91.1,16.7,
Engel, Adam,2019,6,0.242,0.220,0.341,0.276,0.285,0.121,86.4,11.1,
Garver, Mitch,2019,31,0.273,0.258,0.577,0.384,0.352,0.320,91.1,15.3,
Hampson, Garrett,2019,8,0.247,0.227,0.339,0.274,0.286,0.112,85.8,13.3,
Locastro, Tim,2019,1,0.250,0.234,0.308,0.304,0.346,0.075,84.4,13.6,
Mancini, Trey,2019,35,0.291,0.279,0.510,0.366,0.355,0.231,90.3,7.8,
McKinney, Billy,2019,12,0.215,0.222,0.373,0.284,0.282,0.151,86.7,15.2,
McMahon, Ryan,2019,24,0.250,0.248,0.437,0.330,0.329,0.189,91.9,8.9,
O'Neill, Tyler,2019,5,0.262,0.220,0.387,0.284,0.273,0.167,89.1,19.3,
Sisco, Chance,2019,8,0.210,0.223,0.427,0.338,0.345,0.205,89.5,16.4,
Smith, Dominic,2019,11,0.282,0.248,0.448,0.331,0.325,0.200,88.3,15.1,
Tellez, Rowdy,2019,21,0.227,0.251,0.477,0.335,0.317,0.226,90.7,14,
Thaiss, Matt,2019,8,0.211,0.217,0.376,0.294,0.299,0.159,89.1,15.9,
VanMeter, Josh,2019,8,0.237,0.250,0.427,0.332,0.339,0.177,90,16.5,
Wade, Tyler,2019,2,0.245,0.204,0.327,0.281,0.297,0.123,86.9,12.8,
Mejia, Francisco,2019,8,0.265,0.225,0.379,0.283,0.280,0.154,88.4,19.7,
Rosario, Amed,2019,15,0.287,0.294,0.435,0.330,0.331,0.141,89.4,8.9,
Adames, Willy,2019,20,0.254,0.254,0.446,0.326,0.317,0.192,88.5,10.8,
Benintendi, Andrew,2019,13,0.266,0.269,0.470,0.348,0.346,0.201,89.1,17.3,
Cooper, Garrett,2019,15,0.281,0.271,0.472,0.347,0.337,0.202,89.1,4.5,
Dubon, Mauricio,2019,4,0.274,0.249,0.358,0.278,0.283,0.110,84.8,9.5,
Jansen, Danny,2019,13,0.207,0.246,0.419,0.315,0.315,0.173,88.9,16.3,
Kemp, Tony,2019,8,0.212,0.204,0.294,0.265,0.291,0.091,86.2,14.6,
Kiner-Falefa, Isiah,2019,1,0.238,0.227,0.308,0.268,0.289,0.081,87.2,6.8,
Long Jr., Shed,2019,5,0.263,0.214,0.340,0.278,0.289,0.126,87.6,10.6,
McNeil, Jeff,2019,23,0.318,0.291,0.478,0.361,0.362,0.187,89,13.8,
Tauchman, Mike,2019,13,0.277,0.253,0.422,0.331,0.340,0.170,88.7,11.3,
White, Tyler,2019,3,0.208,0.204,0.307,0.279,0.308,0.103,86,12.4,
Albies, Ozzie,2019,24,0.295,0.292,0.497,0.356,0.350,0.205,88.9,15.6,
Robles, Victor,2019,17,0.255,0.234,0.379,0.300,0.310,0.145,83.3,16.7,
Ford, Mike,2019,12,0.259,0.286,0.501,0.369,0.374,0.215,91.9,15.6,
Devers, Rafael,2019,32,0.311,0.302,0.533,0.371,0.355,0.231,92.5,10.6,
Naylor, Josh,2019,8,0.249,0.243,0.382,0.302,0.310,0.140,89.6,4.5,
Diaz, Aledmys,2019,9,0.271,0.276,0.444,0.356,0.368,0.168,88.3,12.1,
Urias, Luis,2019,4,0.223,0.230,0.361,0.313,0.336,0.131,87.3,10.1,
Arraez, Luis,2019,4,0.334,0.294,0.416,0.342,0.366,0.122,87.1,11.5,
Jimenez, Eloy,2019,31,0.267,0.270,0.526,0.355,0.319,0.256,91.2,9.3,
Torres, Gleyber,2019,38,0.278,0.262,0.501,0.347,0.324,0.239,89.1,17.7,
Castro, Willi,2019,1,0.230,0.204,0.292,0.245,0.261,0.088,84.7,18.1,
Diaz, Yandy,2019,14,0.267,0.283,0.497,0.363,0.357,0.213,91.7,5.7,
Viloria, Meibrys,2019,1,0.211,0.171,0.227,0.209,0.227,0.056,87.5,4.9,
Rengifo, Luis,2019,7,0.238,0.241,0.377,0.312,0.327,0.136,87.1,9.3,
Allen, Greg,2019,4,0.229,0.235,0.347,0.285,0.297,0.113,87.4,9.4,
Chapman, Matt,2019,36,0.249,0.255,0.507,0.362,0.349,0.252,92.7,16.4,
Chavis, Michael,2019,18,0.254,0.219,0.401,0.297,0.292,0.182,88.7,11.4,
Diaz, Isan,2019,5,0.173,0.181,0.324,0.262,0.267,0.143,88.6,18.6,
Haseley, Adam,2019,5,0.266,0.229,0.344,0.279,0.289,0.115,87.3,5,
Hoskins, Rhys,2019,29,0.226,0.221,0.429,0.344,0.362,0.209,89.8,23.9,
Luplow, Jordan,2019,15,0.276,0.248,0.476,0.354,0.350,0.228,89.6,16.1,
O'Hearn, Ryan,2019,14,0.195,0.225,0.412,0.311,0.309,0.187,90.5,13,
Schwarber, Kyle,2019,38,0.250,0.267,0.558,0.378,0.357,0.291,93.5,15.5,
Tucker, Cole,2019,2,0.211,0.246,0.376,0.291,0.299,0.129,87.8,7.4,
Verdugo, Alex,2019,12,0.294,0.293,0.463,0.343,0.342,0.171,89.4,8.8,
DeJong, Paul,2019,30,0.233,0.239,0.448,0.333,0.326,0.209,87.1,18.2,
Laureano, Ramon,2019,24,0.288,0.274,0.493,0.348,0.330,0.219,89.7,14.6,
Moncada, Yoan,2019,25,0.315,0.285,0.523,0.362,0.341,0.238,93.1,12.3,
Ohtani, Shohei,2019,18,0.286,0.281,0.491,0.353,0.340,0.210,92.8,6.8,
Acuna Jr., Ronald,2019,41,0.280,0.282,0.578,0.393,0.368,0.296,90.6,14.2,
Riley, Austin,2019,18,0.226,0.225,0.461,0.309,0.281,0.236,89.4,20.6,
Grisham, Trent,2019,6,0.231,0.229,0.373,0.308,0.327,0.144,87.6,16,
Lowe, Nate,2019,7,0.263,0.260,0.461,0.332,0.323,0.201,91.3,13,
Happ, Ian,2019,11,0.264,0.240,0.513,0.345,0.313,0.273,89.8,16,
France, Ty,2019,7,0.234,0.236,0.403,0.303,0.296,0.167,88.9,15.1,
Lowe, Brandon,2019,17,0.270,0.239,0.508,0.345,0.311,0.269,91.6,19.2,
Bader, Harrison,2019,12,0.205,0.217,0.411,0.318,0.328,0.195,88.4,15.3,
Fletcher, David,2019,6,0.290,0.297,0.377,0.324,0.357,0.080,83.8,9.7,
Kingery, Scott,2019,19,0.258,0.251,0.442,0.321,0.310,0.190,88.4,17.8,
Moore, Dylan,2019,9,0.206,0.193,0.340,0.281,0.291,0.148,88.4,19.2,
Straw, Myles,2019,0,0.269,0.259,0.344,0.326,0.371,0.085,84.7,9,
Tatis Jr., Fernando,2019,22,0.317,0.257,0.495,0.348,0.328,0.238,90.4,6.7,
Guerrero Jr., Vladimir,2019,15,0.272,0.261,0.435,0.331,0.330,0.174,89.4,6.7,
Soto, Juan,2019,34,0.282,0.288,0.584,0.414,0.407,0.296,92,12.5,
Bichette, Bo,2019,11,0.311,0.274,0.481,0.342,0.325,0.207,90,10.4,
Gurriel Jr., Lourdes,2019,20,0.277,0.253,0.510,0.344,0.308,0.257,90.4,14.4,
Rogers, Jake,2019,4,0.125,0.126,0.225,0.207,0.223,0.099,83,19.7,
Reynolds, Bryan,2019,16,0.314,0.300,0.487,0.367,0.367,0.187,89.5,9.5,
Rojas, Josh,2019,2,0.217,0.247,0.428,0.332,0.338,0.181,89,10.3,
Senzel, Nick,2019,12,0.256,0.248,0.420,0.314,0.309,0.172,87.8,11.3,
Edman, Tommy,2019,11,0.304,0.286,0.450,0.337,0.333,0.164,87.4,14.2,
Solak, Nick,2019,5,0.293,0.255,0.438,0.346,0.360,0.183,88.3,6.3,
Smith, Will,2019,15,0.253,0.225,0.457,0.326,0.315,0.232,89.4,23.8,
Hiura, Keston,2019,19,0.303,0.265,0.530,0.361,0.334,0.266,91.4,16,
Lopez, Nicky,2019,2,0.240,0.226,0.286,0.247,0.264,0.060,85.1,3.2,
Alvarez, Yordan,2019,27,0.313,0.292,0.606,0.414,0.396,0.314,92.2,13.3,
Brosseau, Mike,2019,6,0.273,0.216,0.361,0.271,0.266,0.145,86.5,14.3,
